distance,U
0,84.732
0.00172496,80.971
0.00345004,77.9016
0.00517499,75.6315
0.00689995,74.7798
0.00862503,74.0933
0.01035,73.3558
0.0120749,72.2805
0.0138,71.1112
0.015525,69.9391
0.0172499,68.827
0.018975,67.8167
0.0207,66.8942
0.0224251,66.075
0.02415,65.492
0.025875,65.0725
0.0276,64.8198
0.029325,64.8678
0.03105,65.0779
0.032775,65.4122
0.0345,65.8475
0.036225,66.217
0.03795,66.5011
0.039675,66.6199
0.0414,66.5905
0.043125,66.4939
0.04485,66.3399
0.046575,66.1289
0.0483,65.8803
0.050025,65.5936
0.0517499,65.2411
0.053475,64.856
0.0552,64.4394
0.0569251,63.9727
0.05865,63.4654
0.060375,62.9237
0.0621001,62.3313
0.063825,61.6867
0.06555,61.0037
0.067275,60.2723
0.069,59.4781
0.070725,58.6436
0.07245,57.7666
0.074175,56.8201
0.0759,55.8371
0.077625,54.8185
0.07935,53.7469
0.081075,52.646
0.0828,51.5214
0.084525,50.3689
0.0862499,49.2018
0.087975,48.0271
0.0897,46.8473
0.0914249,45.6722
0.09315,44.5045
0.094875,43.3478
0.0966001,42.2157
0.098325,41.1021
0.10005,40.0076
0.101775,38.9514
0.1035,37.9202
0.105225,36.9132
0.10695,35.946
0.108675,35.0107
0.1104,34.1008
0.112125,33.2262
0.11385,32.3871
0.115575,31.5728
0.1173,30.7885
0.119025,30.0424
0.12075,29.319
0.122475,28.6186
0.1242,27.9562
0.125925,27.314
0.12765,26.6918
0.129375,26.1014
0.1311,25.5316
0.132825,24.9793
0.13455,24.4515
0.136275,23.9448
0.138,23.4534
0.139725,22.9813
0.14145,22.5302
0.143175,22.0922
0.1449,21.6682
0.146625,21.2645
0.14835,20.8722
0.150075,20.491
0.1518,20.1281
0.153525,19.7759
0.15525,19.4333
0.156975,19.105
0.1587,18.7876
0.160425,18.4784
0.16215,18.1803
0.163875,17.893
0.1656,17.6129
0.167325,17.3411
0.16905,17.0801
0.170775,16.8253
0.1725,16.5769
0.174225,16.339
0.17595,16.1065
0.177675,15.8794
0.1794,15.661
0.181125,15.4481
0.18285,15.2397
0.184575,15.0381
0.1863,14.8427
0.188025,14.6514
0.18975,14.4649
0.191475,14.2843
0.1932,14.1077
0.194925,13.9354
0.19665,13.7688
0.198375,13.6051
0.2001,13.4444
0.201825,13.2894
0.20355,13.138
0.205275,12.9896
0.207,12.845
0.208725,12.7032
0.21045,12.5639
0.212175,12.4284
0.2139,12.2969
0.215625,12.1678
0.21735,12.0412
0.219075,11.9173
0.2208,11.7952
0.222525,11.675
0.22425,11.5589
0.225975,11.4451
0.2277,11.3334
0.229425,11.2245
0.23115,11.1171
0.232875,11.011
0.2346,10.9067
0.236325,10.8048
0.23805,10.7047
0.239775,10.6068
0.2415,10.5114
0.243225,10.4174
0.24495,10.3248
0.246675,10.2338
0.2484,10.1437
0.250125,10.0544
0.25185,9.96731
0.253575,9.88175
0.2553,9.79754
0.257025,9.7152
0.25875,9.63434
0.260475,9.55454
0.2622,9.4761
0.263925,9.39881
0.26565,9.32211
0.267375,9.246
0.2691,9.17107
0.270825,9.09713
0.27255,9.02421
0.274275,8.95307
0.276,8.88283
0.277725,8.81345
0.27945,8.74531
0.281175,8.67809
0.2829,8.61161
0.284625,8.5461
0.28635,8.48139
0.288075,8.41707
0.2898,8.35311
0.291525,8.28979
0.29325,8.22711
0.294975,8.16514
0.2967,8.1045
0.298425,8.04449
0.30015,7.98509
0.301875,7.92664
0.3036,7.8688
0.305325,7.81147
0.30705,7.75489
0.308775,7.69893
0.3105,7.64343
0.312225,7.58854
0.31395,7.53425
0.315675,7.48023
0.3174,7.42644
0.319125,7.37289
0.32085,7.31967
0.322575,7.26681
0.3243,7.21481
0.326025,7.16331
0.32775,7.11226
0.329475,7.06181
0.3312,7.01183
0.332925,6.9622
0.33465,6.91303
0.336375,6.86433
0.3381,6.81593
0.339825,6.76789
0.34155,6.72032
0.343275,6.67302
0.345,6.62599
0.346725,6.57943
0.34845,6.53314
0.350175,6.48709
0.3519,6.4414
0.353625,6.39578
0.35535,6.35022
0.357075,6.30471
0.3588,6.25948
0.360525,6.21451
0.36225,6.16992
0.363975,6.12575
0.3657,6.08184
0.367425,6.03818
0.36915,5.99488
0.370875,5.95179
0.3726,5.90889
0.374325,5.86631
0.37605,5.82392
0.377775,5.78171
0.3795,5.73975
0.381225,5.69799
0.38295,5.65639
0.384675,5.61498
0.3864,5.57379
0.388125,5.53274
0.38985,5.49184
0.391575,5.45116
0.3933,5.41061
0.395025,5.37018
0.39675,5.32997
0.398475,5.28988
0.4002,5.24991
0.401925,5.21009
0.40365,5.17025
0.405375,5.13041
0.4071,5.09053
0.408825,5.05077
0.41055,5.01116
0.412275,4.97176
0.414,4.93261
0.415725,4.89363
0.41745,4.85486
0.419175,4.81615
0.4209,4.76844
0.422625,4.71154
0.42435,4.6817
0.426075,4.66474
0.4278,4.64288
0.429525,4.59491
0.43125,4.54693
0.432975,4.50189
0.4347,4.46474
0.436425,4.4276
0.43815,4.39056
0.439875,4.3537
0.4416,4.31685
0.443325,4.28016
0.44505,4.24366
0.446775,4.20716
0.4485,4.17083
0.450225,4.13462
0.45195,4.0984
0.453675,4.06238
0.4554,4.02645
0.457125,3.99052
0.45885,3.95481
0.460575,3.91917
0.4623,3.88353
0.464025,3.84814
0.46575,3.81278
0.467475,3.77742
0.4692,3.74228
0.470925,3.70715
0.47265,3.67203
0.474375,3.63706
0.4761,3.6021
0.477825,3.56718
0.47955,3.53248
0.481275,3.49777
0.483,3.46317
0.484725,3.42885
0.48645,3.39452
0.488175,3.36035
0.4899,3.32643
0.491625,3.2925
0.49335,3.25876
0.495075,3.22522
0.4968,3.19168
0.498525,3.15836
0.50025,3.1252
0.501975,3.09204
0.5037,3.05916
0.505425,3.02639
0.50715,2.99363
0.508875,2.96118
0.5106,2.92882
0.512325,2.89646
0.51405,2.86448
0.515775,2.83254
0.5175,2.80059
0.519225,2.76908
0.52095,2.73757
0.522675,2.70611
0.5244,2.67505
0.526125,2.64399
0.52785,2.61302
0.529575,2.58242
0.5313,2.55182
0.533025,2.52137
0.53475,2.49125
0.536475,2.46113
0.5382,2.43122
0.539925,2.4016
0.54165,2.37197
0.543375,2.34261
0.5451,2.3135
0.546825,2.28439
0.54855,2.25559
0.550275,2.22701
0.552,2.19842
0.553725,2.17023
0.55545,2.14219
0.557175,2.11415
0.5589,2.08655
0.560625,2.05905
0.56235,2.03155
0.564075,2.0045
0.5658,1.9775
0.567525,1.95051
0.56925,1.92401
0.570975,1.89751
0.5727,1.87108
0.574425,1.84517
0.57615,1.81927
0.577875,1.7935
0.5796,1.76824
0.581325,1.74298
0.58305,1.71793
0.584775,1.69332
0.5865,1.66871
0.588225,1.64437
0.58995,1.62041
0.591675,1.59645
0.5934,1.57282
0.595125,1.54951
0.59685,1.5262
0.598575,1.50329
0.6003,1.48063
0.602025,1.45797
0.60375,1.43579
0.605475,1.41378
0.6072,1.39178
0.608925,1.37031
0.61065,1.34896
0.612375,1.32761
0.6141,1.30687
0.615825,1.28618
0.61755,1.2655
0.619275,1.24547
0.621,1.22543
0.622725,1.20548
0.62445,1.1861
0.626175,1.16671
0.6279,1.14749
0.629625,1.12876
0.63135,1.11003
0.633075,1.09152
0.6348,1.07344
0.636525,1.05536
0.63825,1.03756
0.639975,1.02014
0.6417,1.00271
0.643425,0.985614
0.64515,0.968807
0.646875,0.952001
0.6486,0.93555
0.650325,0.919301
0.65205,0.903053
0.653775,0.887222
0.6555,0.871537
0.657225,0.855854
0.65895,0.840702
0.660675,0.825649
0.6624,0.810598
0.664125,0.796157
0.66585,0.781754
0.667575,0.767379
0.6693,0.753605
0.671025,0.73983
0.67275,0.726145
0.674475,0.712985
0.6762,0.699823
0.677925,0.68681
0.67965,0.674248
0.681375,0.661687
0.6831,0.649329
0.684825,0.637353
0.68655,0.625377
0.688275,0.613658
0.69,0.602252
0.691725,0.590847
0.69345,0.579748
0.695175,0.568898
0.6969,0.558049
0.698625,0.547555
0.70035,0.53725
0.702075,0.526945
0.7038,0.517026
0.705525,0.507234
0.70725,0.497443
0.708975,0.488061
0.7107,0.47875
0.712425,0.469439
0.71415,0.460449
0.715875,0.451478
0.7176,0.442491
0.719325,0.430639
0.72105,0.418788
0.722775,0.406937
0.7245,0.398251
0.726225,0.394955
0.72795,0.39166
0.729675,0.388365
0.7314,0.38507
0.733125,0.379964
0.73485,0.371182
0.736575,0.362399
0.7383,0.353616
0.740025,0.344833
0.74175,0.336051
0.743475,0.328779
0.7452,0.322709
0.746925,0.31664
0.74865,0.31057
0.750375,0.304501
0.7521,0.298431
0.753825,0.292909
0.75555,0.287553
0.757275,0.282197
0.759,0.276841
0.760725,0.271485
0.76245,0.266129
0.764175,0.261381
0.7659,0.256651
0.767625,0.251921
0.76935,0.247191
0.771075,0.242461
0.7728,0.237832
0.774525,0.233683
0.77625,0.229534
0.777975,0.225384
0.7797,0.221235
0.781425,0.217086
0.78315,0.213144
0.784875,0.209545
0.7866,0.205946
0.788325,0.202348
0.79005,0.198749
0.791775,0.19515
0.7935,0.191839
0.795225,0.188735
0.79695,0.185632
0.798675,0.182529
0.8004,0.179426
0.802125,0.176323
0.80385,0.173554
0.805575,0.170878
0.8073,0.168202
0.809025,0.165526
0.81075,0.16285
0.812475,0.160174
0.8142,0.157852
0.815925,0.155535
0.81765,0.153219
0.819375,0.150902
0.8211,0.148586
0.822825,0.146331
0.82455,0.144338
0.826275,0.142346
0.828,0.140353
0.829725,0.138361
0.83145,0.136369
0.833175,0.134497
0.8349,0.132814
0.836625,0.131131
0.83835,0.129448
0.840075,0.127764
0.8418,0.126081
0.843525,0.124563
0.84525,0.123158
0.846975,0.121753
0.8487,0.120348
0.850425,0.118943
0.85215,0.117538
0.853875,0.116325
0.8556,0.115162
0.857325,0.113998
0.85905,0.112835
0.860775,0.111672
0.8625,0.110508
0.864225,0.109551
0.86595,0.108594
0.867675,0.107637
0.8694,0.10668
0.871125,0.105723
0.87285,0.104801
0.874575,0.104012
0.8763,0.103224
0.878025,0.102436
0.87975,0.101647
0.881475,0.100859
0.8832,0.100131
0.884925,0.0994906
0.88665,0.0988506
0.888375,0.0982105
0.8901,0.0975705
0.891825,0.0969305
0.89355,0.096378
0.895275,0.095882
0.897,0.0953859
0.898725,0.0948898
0.90045,0.0943938
0.902175,0.0938977
0.9039,0.0935085
0.905625,0.0931442
0.90735,0.0927798
0.909075,0.0924154
0.9108,0.0920511
0.912525,0.0916883
0.91425,0.0914374
0.915975,0.0911864
0.9177,0.0909354
0.919425,0.0906844
0.92115,0.0904334
0.922875,0.0902038
0.9246,0.0900509
0.926325,0.089898
0.92805,0.0897452
0.929775,0.0895923
0.9315,0.0894394
0.933225,0.0893227
0.93495,0.0892558
0.936675,0.0891889
0.9384,0.089122
0.940125,0.0890551
0.94185,0.0889882
0.943575,0.088967
0.9453,0.0889733
0.947025,0.0889797
0.94875,0.088986
0.950475,0.0889924
0.9522,0.0889988
0.953925,0.0890521
0.95565,0.0891154
0.957375,0.0891786
0.9591,0.0892418
0.960825,0.089305
0.96255,0.0893696
0.964275,0.0894794
0.966,0.0895892
0.967725,0.089699
0.96945,0.0898089
0.971175,0.0899187
0.9729,0.0900397
0.974625,0.0901977
0.97635,0.0903558
0.978075,0.0905138
0.9798,0.0906719
0.981525,0.0908299
0.98325,0.0910096
0.984975,0.0912172
0.9867,0.0914249
0.988425,0.0916326
0.99015,0.0918403
0.991875,0.092048
0.9936,0.0922842
0.995325,0.0925367
0.99705,0.0927892
0.998775,0.0930417
1.0005,0.0932942
1.00223,0.0935467
1.00395,0.0938325
1.00568,0.0941246
1.0074,0.0944167
1.00912,0.0947087
1.01085,0.0950008
1.01258,0.0952945
1.0143,0.0956227
1.01603,0.0959509
1.01775,0.0962791
1.01947,0.0966074
1.0212,0.0969356
1.02293,0.0972721
1.02465,0.0976339
1.02638,0.0979958
1.0281,0.0983576
1.02982,0.0987195
1.03155,0.0990813
1.03328,0.0994575
1.035,0.0998513
1.03673,0.100245
1.03845,0.100639
1.04017,0.101033
1.0419,0.101426
1.04362,0.10184
1.04535,0.102265
1.04708,0.102689
1.0488,0.103114
1.05052,0.103539
1.05225,0.103963
1.05397,0.104414
1.0557,0.104869
1.05743,0.105324
1.05915,0.105779
1.06087,0.106234
1.0626,0.106691
1.06433,0.107176
1.06605,0.107661
1.06778,0.108147
1.0695,0.108632
1.07122,0.109117
1.07295,0.109611
1.07468,0.110127
1.0764,0.110644
1.07812,0.11116
1.07985,0.111676
1.08158,0.112193
1.0833,0.112724
1.08503,0.113272
1.08675,0.113819
1.08847,0.114367
1.0902,0.114915
1.09193,0.115463
1.09365,0.116029
1.09538,0.116605
1.0971,0.117181
1.09882,0.117757
1.10055,0.118333
1.10228,0.118909
1.104,0.119508
1.10573,0.12011
1.10745,0.120713
1.10917,0.121315
1.1109,0.121917
1.11263,0.122522
1.11435,0.123156
1.11608,0.12379
1.1178,0.124425
1.11952,0.125059
1.12125,0.125694
1.12297,0.126339
1.1247,0.127014
1.12643,0.127689
1.12815,0.128364
1.12987,0.129039
1.1316,0.129714
1.13333,0.13041
1.13505,0.131128
1.13678,0.131846
1.1385,0.132564
1.14022,0.133283
1.14195,0.134001
1.14368,0.134749
1.1454,0.135512
1.14713,0.136275
1.14885,0.137037
1.15058,0.1378
1.1523,0.138562
1.15403,0.139366
1.15575,0.140176
1.15747,0.140985
1.1592,0.141794
1.16093,0.142604
1.16265,0.143417
1.16438,0.144276
1.1661,0.145135
1.16782,0.145994
1.16955,0.146853
1.17128,0.147713
1.173,0.148587
1.17473,0.149499
1.17645,0.150412
1.17817,0.151324
1.1799,0.152236
1.18163,0.153149
1.18335,0.154089
1.18508,0.155059
1.1868,0.156028
1.18852,0.156998
1.19025,0.157968
1.19197,0.158937
1.1937,0.15995
1.19543,0.160982
1.19715,0.162013
1.19887,0.163045
1.2006,0.164077
1.20233,0.165109
1.20405,0.166201
1.20578,0.1673
1.2075,0.168399
1.20922,0.169498
1.21095,0.170597
1.21268,0.171703
1.2144,0.172875
1.21613,0.174047
1.21785,0.175219
1.21957,0.176391
1.2213,0.177563
1.22303,0.178759
1.22475,0.180009
1.22648,0.18126
1.2282,0.182511
1.22993,0.183761
1.23165,0.185012
1.23338,0.186306
1.2351,0.187642
1.23682,0.188979
1.23855,0.190315
1.24028,0.191651
1.242,0.192988
1.24373,0.19439
1.24545,0.19582
1.24717,0.197249
1.2489,0.198679
1.25063,0.200109
1.25235,0.201538
1.25408,0.203061
1.2558,0.204593
1.25752,0.206125
1.25925,0.207657
1.26098,0.209189
1.2627,0.210734
1.26443,0.212378
1.26615,0.214022
1.26787,0.215666
1.2696,0.21731
1.27132,0.218954
1.27305,0.220637
1.27478,0.222404
1.2765,0.224171
1.27822,0.225937
1.27995,0.227704
1.28167,0.229471
1.2834,0.231308
1.28513,0.233209
1.28685,0.235109
1.28858,0.23701
1.2903,0.238911
1.29203,0.240812
1.29375,0.24282
1.29548,0.244869
1.2972,0.246917
1.29893,0.248966
1.30065,0.251015
1.30238,0.253064
1.3041,0.255265
1.30582,0.257479
1.30755,0.259693
1.30928,0.261907
1.311,0.264121
1.31273,0.266358
1.31445,0.268758
1.31617,0.271157
1.3179,0.273556
1.31963,0.275956
1.32135,0.278355
1.32308,0.280823
1.3248,0.28343
1.32652,0.286037
1.32825,0.288644
1.32998,0.291251
1.3317,0.293858
1.33343,0.296588
1.33515,0.299425
1.33687,0.302263
1.3386,0.305101
1.34032,0.307938
1.34205,0.310776
1.34378,0.313801
1.3455,0.316896
1.34722,0.319991
1.34895,0.323085
1.35067,0.32618
1.3524,0.329275
1.35413,0.332637
1.35585,0.33602
1.35758,0.339404
1.3593,0.342788
1.36102,0.346171
1.36275,0.349594
1.36448,0.353306
1.3662,0.357019
1.36793,0.360731
1.36965,0.364444
1.37138,0.368156
1.3731,0.371986
1.37483,0.376074
1.37655,0.380162
1.37828,0.38425
1.38,0.388339
1.38173,0.392427
1.38345,0.396731
1.38517,0.401249
1.3869,0.405766
1.38863,0.410284
1.39035,0.414802
1.39208,0.419319
1.3938,0.424178
1.39552,0.42919
1.39725,0.434202
1.39898,0.439214
1.4007,0.444226
1.40243,0.449238
1.40415,0.454742
1.40587,0.460324
1.4076,0.465905
1.40933,0.471486
1.41105,0.477068
1.41278,0.482675
1.4145,0.488905
1.41622,0.495136
1.41795,0.501366
1.41967,0.507597
1.4214,0.513827
1.42313,0.52022
1.42485,0.527179
1.42657,0.534137
1.4283,0.541096
1.43002,0.548054
1.43175,0.555013
1.43348,0.562308
1.4352,0.570105
1.43693,0.577902
1.43865,0.585699
1.44038,0.593496
1.4421,0.601293
1.44383,0.609646
1.44555,0.618439
1.44728,0.627232
1.449,0.636024
1.45073,0.644817
1.45245,0.653609
1.45417,0.663265
1.4559,0.673264
1.45763,0.683262
1.45935,0.693261
1.46108,0.703259
1.4628,0.713257
1.46452,0.724489
1.46625,0.735881
1.46798,0.747273
1.4697,0.758665
1.47143,0.770057
1.47315,0.78149
1.47487,0.794346
1.4766,0.807202
1.47833,0.820058
1.48005,0.832914
1.48178,0.845769
1.4835,0.858839
1.48522,0.873232
1.48695,0.887624
1.48867,0.902017
1.4904,0.91641
1.49213,0.930803
1.49385,0.945696
1.49558,0.96163
1.4973,0.977565
1.49902,0.993499
1.50075,1.00943
1.50248,1.02537
1.5042,1.04222
1.50593,1.05957
1.50765,1.07692
1.50937,1.09427
1.5111,1.11162
1.51283,1.12896
1.51455,1.14572
1.51628,1.16247
1.518,1.17923
1.51973,1.19598
1.52145,1.21274
1.52318,1.22794
1.5249,1.23966
1.52663,1.25138
1.52835,1.26309
1.53008,1.27481
1.5318,1.28653
1.53352,1.29507
1.53525,1.3003
1.53698,1.30552
1.5387,1.31075
1.54043,1.31597
1.54215,1.3212
1.54387,1.32447
1.5456,1.32664
1.54733,1.3288
1.54905,1.33097
1.55078,1.33314
1.5525,1.33531
1.55422,1.33741
1.55595,1.3395
1.55768,1.34158
1.5594,1.34366
1.56113,1.34575
1.56285,1.34783
1.56457,1.34991
1.5663,1.352
1.56802,1.35408
1.56975,1.35616
1.57148,1.35825
1.5732,1.36019
1.57493,1.36187
1.57665,1.36355
1.57837,1.36523
1.5801,1.3669
1.58183,1.36858
1.58355,1.37013
1.58528,1.37159
1.587,1.37304
1.58872,1.3745
1.59045,1.37595
1.59218,1.37741
1.5939,1.37885
1.59563,1.38029
1.59735,1.38173
1.59908,1.38317
1.6008,1.38461
1.60252,1.38605
1.60425,1.38745
1.60598,1.38886
1.6077,1.39026
1.60943,1.39167
1.61115,1.39307
1.61287,1.39446
1.6146,1.39577
1.61633,1.39708
1.61805,1.39839
1.61978,1.39971
1.6215,1.40102
1.62322,1.4023
1.62495,1.40354
1.62668,1.40477
1.6284,1.40601
1.63013,1.40724
1.63185,1.40848
1.63357,1.40968
1.6353,1.41087
1.63702,1.41205
1.63875,1.41324
1.64048,1.41443
1.6422,1.41561
1.64393,1.41675
1.64565,1.41787
1.64737,1.41899
1.6491,1.42011
1.65083,1.42122
1.65255,1.42234
1.65428,1.42338
1.656,1.42442
1.65772,1.42545
1.65945,1.42649
1.66118,1.42752
1.6629,1.42855
1.66463,1.42953
1.66635,1.43051
1.66807,1.43149
1.6698,1.43247
1.67153,1.43345
1.67325,1.43442
1.67498,1.43538
1.6767,1.43633
1.67843,1.43729
1.68015,1.43825
1.68187,1.43921
1.6836,1.44016
1.68533,1.4411
1.68705,1.44204
1.68878,1.44298
1.6905,1.44392
1.69222,1.44486
1.69395,1.44579
1.69568,1.44672
1.6974,1.44764
1.69913,1.44857
1.70085,1.4495
1.70257,1.45034
1.7043,1.45097
1.70603,1.4516
1.70775,1.45224
1.70948,1.45287
1.7112,1.45357
1.71293,1.45442
1.71465,1.45527
1.71637,1.45612
1.7181,1.45697
1.71983,1.45771
1.72155,1.45846
1.72328,1.45921
1.725,1.45996
